iddrink,strdrink,stralcoholic,strcategory,strglass,strinstructions
12362,Tequila Fizz,Alcoholic,Ordinary Drink,Collins glass,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
11102,Black Russian,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.
17118,Arctic Mouthwash,Alcoholic,Punch / Party Drink,Cocktail glass,Blend all ingredients in a blender on high until ice is finely crushed. It should be of a slushy consistency. Pour immediately and serve.
13861,Nutty Irishman,Alcoholic,Milk / Float / Shake,Highball Glass,Serve over ice
17252,Greyhound,Alcoholic,Cocktail,Collins glass,"1. Add the vodka to a Collins glass filled with ice.
2. Top with grapefruit juice and stir.

"
17094,Alice in Wonderland,Alcoholic,Ordinary Drink,Collins Glass,Just mix the three ingredients one to one to one
16047,Campari Beer,Alcoholic,Beer,Beer mug,Use a 15 oz glass. Add Campari first. Fill with beer.
13899,3 Wise Men,Alcoholic,Shot,Collins glass,put them them in a glass... and slam it to tha head.
15801,Zimadori Zinger,Alcoholic,Punch / Party Drink,Collins glass,Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.
16990,Sweet Tooth,Alcoholic,Milk / Float / Shake,Highball Glass,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
17195,Bellini,Alcoholic,Ordinary Drink,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently."
14782,Hot Creamy Bush,Alcoholic,Coffee / Tea,Irish coffee cup,Combine all ingredients in glass
14610,ACID,Alcoholic,Shot,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.
13200,Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,Highball glass,Add ingredients and mix in blender.
14578,Amaretto Sunrise,Alcoholic,Ordinary Drink,Collins Glass,Mix together the amaretto and orange juice. Pour into glass and then add the grenadine untill you see the sunrise.
11112,Bloody Maria,Alcoholic,Ordinary Drink,Old-fashioned glass,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.
17217,Vampiro,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
12876,Berry Deadly,Alcoholic,Punch / Party Drink,Collins Glass,Add all ingredients to large bowl. Stir gently. Serve chilled.
12762,Grizzly Bear,Alcoholic,Ordinary Drink,Collins Glass,"Served over ice. Sounds nasty, but tastes great."
11666,Lone Tree Cooler,Alcoholic,Ordinary Drink,Collins glass,"Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
17035,Buccaneer,Alcoholic,Beer,Beer pilsner,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
17227,Addington,Alcoholic,Cocktail,Cocktail glass,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. 
17105,501 Blue,Alcoholic,Ordinary Drink,Collins Glass,Mix equal amounts into a glass with ice.
16134,Absolutly Screwed Up,Alcoholic,Cocktail,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night."
13042,Sunny Holiday Punch,Optional alcohol,Punch / Party Drink,Punch bowl,Combine all ingredients in a punch bowl.
15300,3-Mile Long Island Iced Tea,Alcoholic,Ordinary Drink,Collins Glass,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.
13405,Brainteaser,Alcoholic,Shot,Shot Glass,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw."
17167,Raspberry Cooler,Alcoholic,Other/Unknown,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
11147,Bourbon Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry."
17241,Zombie,Alcoholic,Cocktail,Hurricane glass,"
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together."
11255,Clove Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
16202,Amaretto Sweet & Sour,Alcoholic,Punch / Party Drink,Margarita/Coupette glass,"Fill the blender with 3/4 ice. Add sweet & sour mix to the top of the ice. Add about 1"" of pineapple juice, 1/2"" of melon liqeur, and 1/2 to 1/4"" of amaretto. Then blend the mix until it is of margaritta consistency or thinner."
17135,Citrus Coke,Alcoholic,Soft Drink / Soda,Highball Glass,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!
14209,Mocha-Berry,Alcoholic,Coffee / Tea,Irish coffee cup,"pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
12071,Rum Cooler,Alcoholic,Ordinary Drink,Collins glass,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
14588,151 Florida Bushwacker,Alcoholic,Milk / Float / Shake,Beer mug,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.
11243,Chocolate Black Russian,Alcoholic,Ordinary Drink,Champagne flute,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.
12720,Kill the cold Smoothie,Non alcoholic,Other/Unknown,Highball glass,Juice ginger and lemon and add it to hot water. You may add cardomom.
12910,Egg Nog #4,Optional alcohol,Punch / Party Drink,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
11390,Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
11129,Boston Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
13204,New York Lemonade,Alcoholic,Cocktail,Cocktail glass,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
12560,Afterglow,Non alcoholic,Cocktail,Highball Glass,Mix. Serve over ice.
11202,Caipirinha,Alcoholic,Ordinary Drink,Old-fashioned glass,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
17249,Pegu Club,Alcoholic,Cocktail,Cocktail glass,"Shake, strain, up, cocktail glass"
11320,Dragonfly,Alcoholic,Ordinary Drink,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
11146,Bourbon Sling,Alcoholic,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist."
17015,Irish Russian,Alcoholic,Beer,Highball glass,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
17223,Abbey Martini,Alcoholic,Cocktail,Cocktail glass,"Put all ingredients into a shaker and mix, then strain contents into a chilled cocktail glass."
12444,Vesuvio,Alcoholic,Ordinary Drink,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
11419,Gin Swizzle,Alcoholic,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
12452,Victory Collins,Alcoholic,Ordinary Drink,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.
17253,Paloma,Alcoholic,Cocktail,Collins glass,Stir together and serve over ice.
14538,Bumble Bee #1,Alcoholic,Shot,Shot glass,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
11798,Monkey Wrench,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
12736,Drinking Chocolate,Non alcoholic,Cocoa,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
16963,Zorbatini,Alcoholic,Cocktail,Cocktail glass,Prepare like a Martini. Garnish with a green olive.
13194,Damned if you do,Alcoholic,Shot,Shot glass,Pour into shot glass. Put in mouth. Repeat as deemed necessary.
11391,Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.
12694,Lassi Raita,Non alcoholic,Other/Unknown,Highball Glass,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
16985,Shot-gun,Alcoholic,Shot,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
15597,Absolut Stress #2,Alcoholic,Ordinary Drink,Collins Glass,Mix well. Garnish with Orange and Cherry. Enjoy
14366,Lemon Drop,Alcoholic,Cocktail,Cocktail glass,Shake and strain into a chilled cocktail glass rimmed with sugar.
17180,Aviation,Alcoholic,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.
12674,Fruit Shake,Non alcoholic,Other/Unknown,Highball Glass,Blend til smooth.
17190,Paradise,Alcoholic,Ordinary Drink,Cocktail glass,Shake together over ice. Strain into cocktail glass and serve chilled.
11786,Mississippi Planters Punch,Alcoholic,Ordinary Drink,Collins glass,"Shake all ingredients (except carbonated water) with ice and strain into a collins glass over ice cubes. Fill with carbonated water, stir, and serve."
11003,Abbey Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except for the cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
13328,Chocolate Milk,Alcoholic,Shot,Shot Glass,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!"
13581,410 Gone,Alcoholic,Ordinary Drink,Collins Glass,
11602,Kentucky B And B,Alcoholic,Ordinary Drink,Brandy snifter,Pour the bourbon and Benedictine into a brandy snifter.
15427,Grand Blue,Alcoholic,Ordinary Drink,Old-fashioned glass,Serve in an old fashioned glass.
14095,Jamaica Kiss,Alcoholic,Milk / Float / Shake,Hurricane glass,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
12790,Absinthe #2,Alcoholic,Homemade Liqueur,Jar,"Mix together and let sit a few days. Strain through a coffee filter. To serve mix 1 part absinthe to 4 parts water, add ice, enjoy."
14167,Vodka Martini,Alcoholic,Ordinary Drink,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
11993,Quentin,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
13332,B-53,Alcoholic,Shot,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52"
11670,Lord And Lady,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
11117,Blue Lagoon,Alcoholic,Ordinary Drink,Highball glass,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve."
13036,Strawberry Lemonade,Non alcoholic,Punch / Party Drink,Collins Glass,Throw everything into a blender and mix until fairly smooth. Serve over ice.
14378,Lunch Box,Alcoholic,Beer,Pint glass,Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
15254,Zenmeister,Alcoholic,Ordinary Drink,Collins Glass,Mix together and enjoy
15675,A midsummernight dream,Alcoholic,Ordinary Drink,Collins Glass,"Mix the strawberrys in a blender Pour it together with the vodka,kirch and strawberry liquer over ice in a shaker. Shake well and pour in a highballglass. Fill up with the Russchian water"
12224,Sloe Gin Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
12186,Shanghai Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
12712,Grape lemon pineapple Smoothie,Non alcoholic,Other/Unknown,Highball glass,Throw everything into a blender and liquify.
11936,Pink Gin,Alcoholic,Ordinary Drink,White wine glass,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice."
11542,Jack Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11121,Bobby Burns Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
12107,Salty Dog,Alcoholic,Ordinary Drink,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
17256,Martinez 2,Alcoholic,Cocktail,Cocktail glass,"Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass."
14282,California Root Beer,Alcoholic,Soft Drink / Soda,Highball glass,Put Kahlua and Galliano in highball glass fill with soda
11029,Amaretto Tea,Alcoholic,Ordinary Drink,Pousse cafe glass,"Pour hot tea into a pousse-cafe glass, using a spoon in glass to prevent cracking. Add amaretto, but do not stir. Top with chilled whipped cream and serve."
12854,Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking."
11379,"French ""75""",Alcoholic,Ordinary Drink,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry."
17065,Caribbean Boilermaker,Alcoholic,Beer,Beer pilsner,Pour the Corona into an 18oz beer glass pour the rum into the beer.
12572,Bora Bora,Non alcoholic,Cocktail,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
12564,Apple Karate,Non alcoholic,Cocktail,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
11422,Godchild,Alcoholic,Ordinary Drink,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
13427,Mojito,Alcoholic,Cocktail,Highball glass,Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
11222,Casa Blanca,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
11961,Port And Starboard,Alcoholic,Ordinary Drink,Pousse cafe glass,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
12127,Sazerac,Alcoholic,Ordinary Drink,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
11060,Balmoral,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
13086,Atomic Lokade,Alcoholic,Ordinary Drink,Collins Glass,"In a shaker, place lemonade, vodka, blue Curacao, and triple sec together. Shake with ice and strain into glass. Add sugar to taste"
11634,Lady Love Fizz,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
17027,Zima Blaster,Alcoholic,Ordinary Drink,Hurricane glass,"Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy."
12796,Caribbean Orange Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age."
14752,Kiwi Lemon,Alcoholic,Ordinary Drink,Highball glass,Mix in highball glass. Stirr. Garnish with slice of kiwi.
12214,Singapore Sling,Alcoholic,Ordinary Drink,Hurricane glass,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
16082,Almond Chocolate Coffee,Alcoholic,Ordinary Drink,Coffee mug,Pour in order into coffee cup. Top with whipped creme and chocolate shcvings.
14466,Dirty Nipple,Alcoholic,Shot,Shot glass,This is a layered shot - the Bailey's must be on top
13060,Margarita,Alcoholic,Ordinary Drink,Cocktail glass,"Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
17211,Dark and Stormy,Alcoholic,Ordinary Drink,Highball glass,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
11025,Amaretto And Cream,Alcoholic,Ordinary Drink,Cocktail glass,"Shake well with cracked ice, strain contents into a cocktail glass, and serve."
17824,The Laverstoke,Alcoholic,Cocktail,Balloon Glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig."
17178,Jam Donut,Alcoholic,Shot,Shot glass,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
11224,Casino Royale,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
12862,Aloha Fruit punch,Non alcoholic,Punch / Party Drink,Collins Glass,"Add 1/4 cup water to ginger root. Boil 3 minutes. Strain. Add the liquid to the guava, lemon and pineapple juices. Make a syrup of sugar and remaining water. Cool. Combine with juices and pineapple. Chill throroughly."
17174,Cherry Electric Lemonade,,Cocktail,Pint glass,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
12744,Microwave Hot Cocoa,Non alcoholic,Cocoa,Coffee mug,"Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well."
15515,Tennesee Mud,Alcoholic,Coffee / Tea,Coffee Mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
11106,Blackthorn,Alcoholic,Ordinary Drink,Cocktail glass,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
16951,Kioki Coffee,Alcoholic,Coffee / Tea,Coffee mug,Stir. Add whipped cream to the top.
17185,Casino,Alcoholic,Ordinary Drink,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
11001,A Night In Old Mandalay,Alcoholic,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist."
17248,French Negroni,Alcoholic,Cocktail,Martini Glass,"1. Add ice to a shaker and pour in all ingredients.
2. Using a bar spoon, stir 40 to 45 revolutions or until thoroughly chilled.
3. Strain into a martini glass or over ice into a rocks glass. Garnish with orange twist."
11470,Havana Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
12772,Iced Coffee Fillip,Alcoholic,Coffee / Tea,Coffee mug,Mix together in a coffee mug and chill before serving.
15951,Black Forest Shake,Alcoholic,Milk / Float / Shake,Collins Glass,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."
13020,Sangria #1,Alcoholic,Punch / Party Drink,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
17191,Planter's Punch,Alcoholic,Punch / Party Drink,Collins glass,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple."
12764,Karsk,Alcoholic,Ordinary Drink,Highball glass,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
11016,Brandy Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
13625,Screaming Orgasm,Alcoholic,Ordinary Drink,Cocktail glass,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first."
11006,Adam,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
16984,Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,Collins Glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.
15691,Zoksel,Alcoholic,Soft Drink / Soda,Beer pilsner,"No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it."
12198,Sidecar Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
16995,Orange Whip,Alcoholic,Other/Unknown,Collins Glass,Pour ingredients over ice and stir.
14888,Zinger,Alcoholic,Soft Drink / Soda,Highball glass,Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
11113,Bloody Mary,Alcoholic,Ordinary Drink,Old-fashioned glass,"Stirring gently, pour all ingredients into highball glass. Garnish."
12780,Spiking coffee,Non alcoholic,Coffee / Tea,Coffee mug,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug."
11382,Frisco Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
11462,Harvey Wallbanger,Alcoholic,Ordinary Drink,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
12436,Van Vleet,Alcoholic,Ordinary Drink,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
11164,Brandy Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg."
11668,Long Island Tea,Alcoholic,Ordinary Drink,Highball glass,Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
17226,Adam & Eve,Alcoholic,Cocktail,Cocktail glass,Shake together all the ingredients and strain into a cold glass.
14272,Addison Special,Alcoholic,Cocktail,Old-fashioned glass,Combine ingredients in the order listed into a shaker. Fill half full with ice and shake well. Strain into glass with ice and garnish with a cherry and orange wedge.
15761,Quick-sand,Alcoholic,Ordinary Drink,Highball glass,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
11014,Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
17207,Pina Colada,Alcoholic,Ordinary Drink,Collins glass,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
16942,Zipperhead,Alcoholic,Shot,Whiskey sour glass,"Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
11420,Gin Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
13683,Apple Slammer,Alcoholic,Shot,Shot glass,"pour into a shot glass and present to consumer, they are expected to cover the top of the shotglass with thier palm, raise the glass, slam it on the bar and the swallow quickly."
12754,Sex on the Beach,Alcoholic,Ordinary Drink,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
11119,Blue Mountain,Alcoholic,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes."
11251,City Slicker,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
12446,Veteran,Alcoholic,Ordinary Drink,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.
11720,Martinez Cocktail,Alcoholic,Cocktail,Cocktail glass,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
